X,Y
2.015641022752882,0
3.027211479803965,0
4.74355529442728,0
3.49704898269549,0
4.673327362947727,0
4.21412602715929,0
3.6063765652055757,0
4.015363299848934,0
9.46556221113241,1
2.783053068797013,0
4.188938792654734,0
8.750832533905827,1
9.086186451747785,1
8.735544919824882,1
4.541105193816998,0
7.830079112378727,1
3.1481420995344553,0
6.3129089097548805,1
2.6872717037622684,0
1.9057181443769367,0
0.27378864421591653,0
6.139044464906814,1
2.190251429341944,0
5.355059534387953,1
7.324913213624734,1
9.25495713748654,1
4.74007275648047,0
7.102589907303779,1
0.524805320430759,0
3.487997307620614,0
9.00744602592426,1
7.773873346058577,1
3.7945008797451973,0
0.9777758511193935,0
6.4013882381869704,1
2.023781652069693,0
0.38553105507407204,0
3.0949301681631636,0
1.657503959208525,0
4.9169682194075035,0
8.406310720057329,1
8.992782584623997,1
8.723534183084801,1
0.8385316000046783,0
0.20204209271661444,0
1.9534977645384177,0
0.6035354893698397,0
0.7231673445480435,0
1.4051098999560252,0
8.931647884497742,1
5.572196646336401,1
5.0160428203972085,1
6.341548517412018,1
4.544549209390956,0
9.097716949119071,1
1.247528360551492,0
4.621581957298706,0
8.905158278159531,1
3.915696547565112,0
2.1679623433461037,0
2.751087279971461,0
0.5144735322098937,0
9.408639645932228,1
9.87051702273161,1
1.2493131305720229,0
7.056775143677875,1
8.698720239674333,1
5.840736356507641,1
6.099434285847334,1
0.5698969407902355,0
7.6754070026803065,1
5.662497484508192,1
4.383656027502254,0
8.552567390378634,1
8.650508000250642,1
5.791592455502394,1
5.055492312640018,1
0.4511674675125088,0
2.8719188048901714,0
4.500991530880997,0
0.204649151344799,0
2.829572651886947,0
2.644997880950192,0
5.834266557226309,1
5.096433893390775,1
7.720342515250587,1
2.2795921035815514,0
1.4939221112447243,0
0.6146239678130083,0
3.156408840873486,0
7.703658627444451,1
5.053083080026996,1
5.960831448943801,1
4.999224252225476,0
3.27056002011319,0
5.899480518106368,1
5.862508756091652,1
4.473490419032073,0
1.6424294664770234,0
5.740595658526847,1
